idade,conta_corrente,sexo,risco
21.257389113463468,783.1279113299654,masculino,ruim
21.76657261348206,979.7475209054865,feminino,bom
25.32103343104804,1065.328053967916,feminino,bom
23.91926758092186,1195.758078254006,feminino,bom
21.80529791105156,1083.7644500799438,feminino,bom
22.23257374098182,1024.8900876674877,masculino,ruim
24.922362024093946,1387.7858142950672,masculino,bom
21.744767888903304,1217.385348848293,feminino,bom
27.45236598185884,1084.4783959227175,masculino,bom
22.517270692517886,1325.8187282347626,feminino,bom
23.872316526168746,1085.0986374807612,masculino,ruim
21.926825546010257,640.5622292186174,feminino,bom
19.01684251570921,631.6082634197735,feminino,ruim
22.50672215442364,704.332771842254,feminino,ruim
22.780826903212557,957.203963741772,masculino,ruim
26.716063671215682,1469.0436890493936,feminino,bom
26.18078369351911,1513.4358870176864,masculino,bom
23.781336010081816,1238.0946224019635,feminino,bom
21.84218370406367,1036.003233054494,feminino,ruim
26.01304701508473,836.4680677072224,feminino,bom
21.10240415984999,917.3432756638896,feminino,bom
20.587560309110547,677.6404695521918,feminino,bom
19.339459522320787,1295.6662067220855,feminino,bom
25.170385198808127,1063.3077535787158,masculino,ruim
24.974376620486368,761.5225315245325,masculino,ruim
23.68799489264842,962.1408487677633,masculino,ruim
22.139017339140754,1132.2232114372925,feminino,bom
25.83001866561947,980.4857142741748,feminino,bom
19.407457685245188,774.9300809322391,feminino,bom
20.20062338491317,660.5326384325415,feminino,bom
27.581627557526346,635.5737548434636,feminino,ruim
21.24526987367237,1296.2975722956562,feminino,bom
21.11546575433467,1279.573531702661,feminino,ruim
22.226448363625497,1272.9103194082033,masculino,bom
25.878354812334692,984.3828896731957,feminino,bom
23.995843748164816,888.8931516691542,masculino,ruim
27.116738416656734,1475.3085545372767,masculino,bom
19.26922185318648,1133.0643676030927,feminino,bom
25.422246348380483,1059.0355739279116,feminino,ruim
24.104902457106114,1457.4230791014108,feminino,bom
21.720550161565786,1459.5385359203522,feminino,bom
24.257333355018034,972.7637095735698,feminino,ruim
20.78961599141502,670.6367467830808,feminino,bom
23.585389899678233,708.2980801772967,masculino,ruim
23.70333432628653,1093.464336301281,masculino,ruim
25.70229717843865,438.47091187439975,masculino,bom
27.610007244088894,1043.1754634970766,feminino,bom
25.261793131868572,732.079398289173,feminino,ruim
20.91941629467585,612.8583229532918,masculino,ruim
23.51042469335175,1255.020816070827,feminino,bom
27.90174235792869,1028.705200061261,masculino,ruim
20.47200344423089,1361.2288811318351,masculino,bom
20.870308065715196,1151.372585718722,feminino,bom
22.173824299746848,1146.9485331942035,feminino,bom
21.798692747897906,949.0920012904761,feminino,bom
22.07016554070169,1043.657466850872,masculino,ruim
20.60401258453172,1197.9619920336631,masculino,bom
21.267552993492195,1202.0642343458655,feminino,bom
21.029360183433184,1214.5749312886512,feminino,ruim
21.86079947566592,729.157353164165,masculino,ruim
23.28306307075455,1112.627231408816,feminino,bom
18.53578558778996,987.7023521444546,masculino,bom
22.42875894099513,933.6020614844427,masculino,ruim
24.03774141859482,1068.470945413708,feminino,ruim
18.14166620513994,1363.623940373377,masculino,ruim
22.496320965996514,1083.4482528196404,feminino,bom
26.816226999840588,858.9503907089837,masculino,bom
22.85598164726086,796.6096532143208,feminino,bom
23.26080949826201,899.3915214583106,feminino,ruim
20.808929300570124,690.3464980222225,feminino,bom
22.776415697647572,1007.2825159901907,feminino,bom
21.737351019525384,1460.3428657448526,feminino,bom
21.440678799185378,822.5480330039284,feminino,bom
24.387235560846854,1308.546272042396,feminino,bom
19.787343297188485,824.8836191342839,masculino,ruim
22.93605601629412,810.6655285804283,feminino,bom
23.534461051743197,974.4769836594264,masculino,ruim
23.558459127368888,1092.5694942844666,feminino,ruim
