idade,conta_corrente,risco
21.257389113463468,783.1279113299654,ruim
21.76657261348206,979.7475209054863,bom
25.321033431048036,1065.328053967916,ruim
23.91926758092186,1195.758078254006,bom
21.80529791105156,1083.7644500799438,bom
22.23257374098182,1024.8900876674877,ruim
24.922362024093946,1387.7858142950672,bom
21.744767888903304,1217.385348848293,bom
27.452365981858836,1084.4783959227175,bom
22.517270692517886,1325.8187282347626,bom
23.872316526168746,1085.0986374807612,ruim
21.926825546010257,640.5622292186174,ruim
19.01684251570921,631.6082634197735,ruim
22.50672215442364,704.332771842254,ruim
22.780826903212553,957.203963741772,ruim
26.716063671215682,1469.0436890493934,bom
26.180783693519107,1513.4358870176864,bom
23.781336010081816,1238.0946224019635,ruim
21.84218370406367,1036.003233054494,ruim
26.01304701508473,836.4680677072224,ruim
21.10240415984999,917.3432756638896,bom
20.587560309110547,677.6404695521918,ruim
19.339459522320787,1295.6662067220855,bom
25.170385198808123,1063.3077535787158,ruim
24.974376620486368,761.5225315245325,ruim
23.68799489264842,962.1408487677633,ruim
22.139017339140754,1132.2232114372925,bom
25.83001866561947,980.4857142741748,ruim
19.407457685245188,774.9300809322391,ruim
20.20062338491317,660.5326384325415,ruim
27.581627557526346,635.5737548434636,ruim
21.24526987367237,1296.2975722956562,bom
21.11546575433467,1279.573531702661,ruim
22.226448363625497,1272.9103194082033,bom
25.878354812334692,984.3828896731957,ruim
23.995843748164816,888.8931516691542,ruim
27.116738416656727,1475.3085545372767,bom
19.26922185318648,1133.0643676030927,bom
25.422246348380483,1059.0355739279116,ruim
24.104902457106114,1457.4230791014108,bom
21.720550161565786,1459.5385359203522,bom
24.257333355018034,972.7637095735698,ruim
20.78961599141502,670.6367467830808,ruim
23.585389899678233,708.2980801772967,ruim
23.70333432628653,1093.464336301281,ruim
25.70229717843865,438.47091187439975,bom
27.610007244088887,1043.1754634970766,bom
25.261793131868572,732.079398289173,ruim
20.91941629467585,612.8583229532918,ruim
23.51042469335175,1255.020816070827,bom
27.90174235792869,1028.705200061261,ruim
20.47200344423089,1361.2288811318351,bom
20.870308065715193,1151.372585718722,bom
22.173824299746848,1146.9485331942035,bom
21.798692747897906,949.0920012904761,bom
22.07016554070169,1043.657466850872,ruim
20.60401258453172,1197.9619920336631,bom
21.267552993492195,1202.0642343458655,bom
21.029360183433184,1214.5749312886512,ruim
21.86079947566592,729.157353164165,ruim
23.28306307075455,1112.627231408816,bom
18.53578558778996,987.7023521444546,bom
22.428758940995134,933.6020614844427,ruim
24.03774141859482,1068.470945413708,ruim
18.14166620513994,1363.623940373377,ruim
22.49632096599651,1083.4482528196404,ruim
26.816226999840588,858.9503907089837,bom
22.85598164726086,796.6096532143209,bom
23.26080949826201,899.3915214583106,ruim
20.808929300570124,690.3464980222225,ruim
22.776415697647572,1007.2825159901907,ruim
21.737351019525384,1460.3428657448526,bom
21.440678799185378,822.5480330039284,bom
